"Ovr","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"64","ARZ","7","2","0","4","1","1","14","1","0","9","2","","0","7","5","11","0",""
"85","ATL","0","10","1","0","-2","-1","-4","2","","10","26","2","0","14","5","9","13",""
"152","BLT","13","4","0","-1","5","5","18","","13","24","15","13","7","8","7","3","18",""
"131","BUF","7","6","11","3","11","","11","4","8","5","10","13","11","3","18","2","8",""
"96","CAR","4","6","13","14","15","21","","3","11","2","2","3","6","-3","3","-1","-3",""
"102","CHI","9","5","21","17","4","","3","4","4","8","5","4","5","2","1","1","9",""
"67","CIN","6","-2","5","2","1","9","2","0","","-1","8","6","13","5","1","0","12",""
"91","CLV","0","13","9","10","3","4","","5","5","2","16","8","4","11","-2","1","2",""
"99","DAL","6","1","12","11","1","4","15","","18","0","3","6","4","5","4","2","7",""
"102","DEN","0","1","0","5","12","23","0","7","3","","9","4","8","15","5","5","5",""
"75","DET","7","9","13","5","","7","-4","11","0","6","-1","8","3","2","0","6","3",""
"110","GB","14","12","13","-1","9","3","2","4","2","8","","-1","10","7","13","11","4",""
"91","HST","2","10","8","10","9","5","2","0","19","","-4","2","5","-1","6","22","-4",""
"119","IND","7","5","2","2","10","","9","7","7","8","8","4","9","11","-1","30","1",""
"103","JAX","-4","9","15","2","4","7","17","15","5","","6","1","5","-3","5","5","14",""
"144","KC","5","11","2","14","3","5","24","4","1","2","11","","20","8","11","10","13",""
"47","MIA","-3","0","2","0","","1","1","4","8","11","2","-1","3","3","3","2","11",""
"145","MIN","16","6","7","2","12","9","3","12","8","3","4","","8","13","27","9","6",""
"232","NE","10","37","8","31","14","30","25","21","1","","11","8","2","7","20","5","2",""
"143","NO","7","5","14","11","6","11","10","8","","3","17","5","16","1","5","6","18",""
"83","NYG","-4","2","7","24","4","9","15","7","0","1","","7","-1","5","8","-1","0",""
"131","NYJ","18","5","10","","2","1","1","3","6","16","9","18","1","4","11","12","14",""
"67","OAK","4","3","-1","10","8","","-3","3","6","17","13","2","-3","-2","3","2","5",""
"113","PHI","1","7","2","5","35","1","1","12","6","","2","11","1","3","9","8","9",""
"176","PIT","0","7","11","19","11","14","","13","19","22","1","12","13","17","6","5","6",""
"133","LA","8","8","9","6","2","7","15","9","","16","9","-1","18","11","-4","9","11",""
"77","LAC","2","8","4","11","14","2","4","9","7","3","3","","2","6","-2","3","1",""
"159","SF","24","7","7","","19","10","15","17","3","19","14","11","4","-2","3","7","1",""
"119","SEA","12","3","1","16","3","9","0","9","3","17","","17","5","11","7","4","2",""
"126","TB","10","6","8","12","3","0","","5","1","6","0","16","23","-1","15","9","13",""
"139","TEN","23","8","1","11","7","4","4","11","6","11","","6","26","10","5","-1","7",""
"89","WAS","0","2","4","8","5","10","8","6","2","","5","21","11","7","0","-1","1",""