"Defense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS"
"WAS","8.289124624314052","5.491240420654732","1.5732594187085913","0.15244363263347416","4.512376236165409","10","2.290757880770667","2.861268832651771","4.312001100783021","1.5732594187085913","10","6.159683315985198","6.94455956061093","","6.94455956061093","2.3589836389188767","1.5959593040883056","0.15244363263347416","17","5.273182523712659"
"LV","2.7214188230628626","3.9174504078702244","4.512376236165409","4.724439289347656","0","","10","8.5861446679106","8.289124624314052","2.8626536249555974","4.724439289347656","6.098315961370721","2.7214188230628626","2.2399907600528457","0.9574510999165174","8.5985749111823","2.3589836389188767","0","17","5.4836715037712045"
"LA","2.306937346329397","6.159683315985198","3.9174504078702244","2.3589836389188767","0.15244363263347416","7.931975319896303","","2.357501124256672","0.0019398297419578904","3.9174504078702244","8.586418931773","0","6.098315961370721","4.216750081322733","2.290757880770667","4.724439289347656","2.7214188230628626","6.098315961370721","17","0"
"LAC","4.216750081322733","0","8.289124624314052","10","1.5959593040883056","5.40996410100856","6.098315961370721","","6.159683315985198","2.3589836389188767","0","3.9174504078702244","4.216750081322733","6.130176026613896","4.512376236165409","2.8626536249555974","2.2399907600528457","4.724439289347656","17","4.500727954061609"
"HST","2.8626536249555974","4.724439289347656","8.73284776227424","2.7214188230628626","8.289124624314052","","4.216750081322733","4.511311524050409","1.5732594187085913","6.94455956061093","3.8640652565995666","6.130176026613896","1.5959593040883056","0.15244363263347416","0","4.512376236165409","8.289124624314052","2.8626536249555974","17","2.0851630206044973"
"TEN","6.94455956061093","2.306937346329397","4.216750081322733","2.8626536249555974","3.8640652565995666","","2.8626536249555974","10","0","4.724439289347656","2.290757880770667","3.251075963625176","1.5732594187085913","8.289124624314052","2.7214188230628626","10","0.15244363263347416","8.289124624314052","17","0.9736092652465553"
"JAX","3.8640652565995666","2.8626536249555974","2.7214188230628626","1.5732594187085913","10","3.2780299197728087","6.94455956061093","4.723415721835784","4.216750081322733","0","","4.33356489659173","5.491240420654732","4.512376236165409","0.15244363263347416","6.574382855579543","10","4.512376236165409","17","2.6729013323497206"
"CAR","1.5959593040883056","6.94455956061093","8.586418931773","3.9174504078702244","2.3589836389188767","2.565017530397781","0.0019398297419578904","6.158938215396152","3.251075963625176","6.159683315985198","4.33356489659173","4.724439289347656","","6.098315961370721","8.5985749111823","5.491240420654732","0.0019398297419578904","8.586418931773","17","4.9265750210591355"
"ARZ","0","4.216750081322733","2.2399907600528457","6.926873292277093","1.5732594187085913","6.983192799621846","8.586418931773","4.310897511761848","6.098315961370721","2.2399907600528457","2.3589836389188767","2.7214188230628626","","0.9574510999165174","4.724439289347656","0.0019398297419578904","6.159683315985198","2.3589836389188767","17","0.14776861946865627"
"CHI","2.3589836389188767","2.290757880770667","10","6.94455956061093","4.312001100783021","4.424748217061868","0.9574510999165174","0.1505330037312947","6.130176026613896","5.491240420654732","6.159683315985198","6.574382855579543","2.290757880770667","","1.5732594187085913","2.306937346329397","5.491240420654732","4.312001100783021","17","3.080413543847823"
"CIN","8.5985749111823","0.15244363263347416","6.574382855579543","6.130176026613896","4.33356489659173","9.832324077451792","6.159683315985198","1.5943287469785326","6.926873292277093","","8.5985749111823","4.512376236165409","0","1.5959593040883056","0.0019398297419578904","0.9574510999165174","2.306937346329397","4.33356489659173","17","2.2690965830225434"
"BUF","2.2399907600528457","4.512376236165409","6.130176026613896","4.33356489659173","8.5985749111823","0","","2.289262128905188","6.574382855579543","4.312001100783021","1.5959593040883056","5.491240420654732","0.9574510999165174","6.574382855579543","6.130176026613896","8.73284776227424","3.251075963625176","0.9574510999165174","17","3.0464031532829123"
"DEN","6.098315961370721","10","2.3589836389188767","4.216750081322733","2.8626536249555974","3.1163016889168134","6.574382855579543","8.288792679228504","","4.512376236165409","4.216750081322733","6.926873292277093","4.33356489659173","0","3.9174504078702244","2.2399907600528457","0","2.7214188230628626","17","5.193442916108423"
"CLV","6.926873292277093","6.574382855579543","8.5985749111823","6.159683315985198","2.7214188230628626","1.0963790117270686","4.33356489659173","3.2497665332607815","","6.130176026613896","2.306937346329397","0.0019398297419578904","10","3.251075963625176","4.33356489659173","8.586418931773","3.8640652565995666","8.5985749111823","17","7.101693627364689"
"TB","0.15244363263347416","8.586418931773","2.290757880770667","0","6.159683315985198","9.846243911783285","6.926873292277093","4.3324654913913925","2.2399907600528457","6.098315961370721","","1.5959593040883056","8.586418931773","2.3589836389188767","3.251075963625176","3.9174504078702244","6.926873292277093","6.159683315985198","17","2.1528045438301056"
"KC","3.9174504078702244","2.7214188230628626","2.8626536249555974","0.0019398297419578904","4.216750081322733","2.6416781892103156","2.3589836389188767","","4.512376236165409","8.289124624314052","2.7214188230628626","2.2399907600528457","3.251075963625176","4.724439289347656","10","6.098315961370721","4.724439289347656","4.216750081322733","17","2.505702199117692"
"IND","10","8.289124624314052","0","4.512376236165409","4.724439289347656","9.491891820355482","4.512376236165409","3.8628747587922647","0.9574510999165174","4.216750081322733","1.5732594187085913","8.5985749111823","0.15244363263347416","","4.312001100783021","2.7214188230628626","6.94455956061093","10","17","3.7035504260855987"
"DAL","0.0019398297419578904","3.251075963625176","6.94455956061093","3.8640652565995666","2.2399907600528457","1.8015422477705916","5.491240420654732","8.732601908622984","","2.290757880770667","4.312001100783021","6.94455956061093","2.8626536249555974","10","8.289124624314052","1.5732594187085913","4.512376236165409","3.8640652565995666","17","4.949248741817553"
"MIA","0.9574510999165174","4.33356489659173","2.306937346329397","3.251075963625176","6.574382855579543","4.937680374334241","8.5985749111823","5.490365628366787","8.73284776227424","1.5959593040883056","","10","2.3589836389188767","2.7214188230628626","2.306937346329397","2.290757880770667","0.9574510999165174","6.574382855579543","17","4.649984401292969"
"NYG","4.512376236165409","6.926873292277093","0.15244363263347416","8.73284776227424","2.290757880770667","4.9623731164908875","8.289124624314052","6.097558954250043","","10","5.491240420654732","0.15244363263347416","3.8640652565995666","1.5732594187085913","3.8640652565995666","4.312001100783021","2.8626536249555974","1.5732594187085913","17","6.755319246416414"
"NYJ","4.33356489659173","1.5959593040883056","3.251075963625176","8.5985749111823","6.130176026613896","2.6231510535047957","4.724439289347656","0.955696659054912","2.306937346329397","","0.9574510999165174","8.73284776227424","4.312001100783021","2.306937346329397","5.491240420654732","8.289124624314052","6.098315961370721","6.130176026613896","17","5.926952068007659"
"DET","1.5732594187085913","3.8640652565995666","4.312001100783021","6.098315961370721","0.9574510999165174","","0.15244363263347416","6.129425201002539","2.290757880770667","8.73284776227424","6.94455956061093","2.306937346329397","8.289124624314052","4.312001100783021","6.574382855579543","6.926873292277093","8.73284776227424","2.290757880770667","17","5.229506652667305"
"GB","4.312001100783021","8.73284776227424","0.0019398297419578904","0.9574510999165174","6.94455956061093","7.528337873907262","3.8640652565995666","2.30544473361371","5.491240420654732","0.15244363263347416","4.512376236165409","1.5732594187085913","8.73284776227424","","2.2399907600528457","6.130176026613896","4.312001100783021","5.491240420654732","17","1.1858346822333878"
"NE","6.130176026613896","8.5985749111823","4.33356489659173","2.290757880770667","5.491240420654732","1.8275359281800652","8.73284776227424","6.573718215248504","2.8626536249555974","","6.574382855579543","4.312001100783021","2.306937346329397","3.9174504078702244","4.216750081322733","3.251075963625176","6.130176026613896","2.306937346329397","17","5.037700700342995"
"BLT","6.574382855579543","6.130176026613896","0.9574510999165174","2.306937346329397","3.251075963625176","7.952227898225038","1.5959593040883056","0","8.586418931773","","6.926873292277093","8.289124624314052","4.724439289347656","8.5985749111823","1.5959593040883056","6.159683315985198","8.5985749111823","3.251075963625176","17","7.32774784144011"
"NO","6.159683315985198","0.0019398297419578904","6.926873292277093","4.312001100783021","6.098315961370721","3.72281305265594","3.9174504078702244","4.215628011640576","4.33356489659173","8.5985749111823","2.2399907600528457","2.3589836389188767","0.0019398297419578904","","6.159683315985198","1.5959593040883056","1.5732594187085913","6.926873292277093","17","1.8232919935468084"
"SEA","4.724439289347656","2.3589836389188767","6.159683315985198","5.491240420654732","8.586418931773","4.485879651759815","2.7214188230628626","6.943966742190338","3.9174504078702244","0.0019398297419578904","","4.216750081322733","2.2399907600528457","6.926873292277093","2.3589836389188767","0","6.574382855579543","2.2399907600528457","17","3.7027200049742888"
"PIT","3.251075963625176","0.9574510999165174","1.5959593040883056","6.574382855579543","2.306937346329397","0.0022213025976908973","6.130176026613896","1.57162445735319","","8.586418931773","3.251075963625176","2.8626536249555974","6.159683315985198","4.33356489659173","6.926873292277093","4.216750081322733","4.33356489659173","1.5959593040883056","17","1.78509730974613"
"MIN","2.290757880770667","1.5732594187085913","5.491240420654732","8.586418931773","8.73284776227424","7.0196758188046715","","3.916270267882585","3.8640652565995666","2.306937346329397","0.15244363263347416","0.9574510999165174","6.574382855579543","5.491240420654732","2.8626536249555974","6.94455956061093","2.290757880770667","8.73284776227424","17","3.5320360941417857"
"ATL","8.586418931773","2.2399907600528457","6.098315961370721","1.5959593040883056","0.0019398297419578904","2.701276494375234","3.251075963625176","6.926277042355915","2.7214188230628626","6.926873292277093","8.73284776227424","3.8640652565995666","8.5985749111823","","8.586418931773","4.33356489659173","3.9174504078702244","0.0019398297419578904","17","4.544005765303021"
"SF","8.73284776227424","6.098315961370721","4.724439289347656","2.2399907600528457","6.926873292277093","7.05346467001856","0","2.2384851583195915","","2.7214188230628626","3.9174504078702244","8.586418931773","6.130176026613896","0.0019398297419578904","6.098315961370721","3.8640652565995666","4.216750081322733","3.9174504078702244","17","4.933043937671627"
"PHI","5.491240420654732","4.312001100783021","3.8640652565995666","8.289124624314052","3.9174504078702244","0.17456348350881393","","8.59830300583045","10","3.8640652565995666","2.8626536249555974","2.290757880770667","4.512376236165409","6.94455956061093","8.73284776227424","0.15244363263347416","8.586418931773","6.94455956061093","17","10"