Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,TOTAL
9.3,Trace McSorley,BLT,,,,,,,,,,,,8.7,,0.6,,,,,4.65
409.9,Josh Allen,BUF,32.2,34.5,34.2,25.4,18.3,16.1,18.4,13.5,36,21.2,,18.5,32.1,19.3,37.7,32.3,20.3,,25.63
275.2,Ben Roethlisberger,PIT,22.1,19.2,17.2,,21.4,11,15.6,15.3,25,29.3,17.7,13.5,19.2,13.5,9.7,25.5,,,18.35
146.2,Andy Dalton,DAL,,0,,,4.4,13,3.6,,,,19.6,13.3,18.6,15.3,17.2,27.6,13.6,,13.29
115.3,Jalen Hurts,PHI,,0,0.5,1.8,0.7,2.3,0.2,0.4,,-0.1,0.6,0.2,10.3,21.3,37.8,22.6,16.8,,7.69
26.8,Marcus Mariota,LV,,,,,,,,,,,,,,,26.8,,,,26.80
81.2,Dwayne Haskins,WAS,12.8,13.7,14.2,18.9,,,,,,,,,,0.8,16.6,4.2,,,11.60
144.8,Taysom Hill,NO,2.8,0.8,0.6,0.6,7.3,,0.6,3.5,7.3,4.5,26.2,18.5,25.6,21.9,6.3,8.1,10.1,,9.04
13.5,Phillip Walker,CAR,,,,,,,,0.1,,0.5,12.1,,,,,,0.8,,3.38
2.9,Tyler Huntley,BLT,,,,,,,,,,,,,,,2.1,,0.8,,1.45
6.6,Robert Griffin III,BLT,0.3,,,-0.7,-0.1,,,,,,,7.1,,,,,,,1.65
1.5,Nate Sudfeld,PHI,,,,,,,,,,,,,,,,,1.5,,1.50
15.3,Blaine Gabbert,TB,,,,,,0.2,,,-0.1,0,,,,,,15.2,,,3.83
133.5,Dak Prescott,DAL,17.6,41.8,31.5,36.3,6.3,,,,,,,,,,,,,,26.70
347.8,Lamar Jackson,BLT,27.5,17.6,16.2,26,14.5,28.2,,20.8,18.6,22.5,15.5,,26.7,34.9,30.2,23.3,25.2,,23.18
351.9,Tom Brady,TB,22.5,11.7,23.9,33.5,14.1,14.6,36.9,19.1,5.4,31.8,14.6,23.7,,15.6,23.4,29.9,31.3,,22.00
20.6,Jacoby Brissett,IND,0,,0.7,,,,,,0,6.2,0.9,12.3,0.1,-0.2,0.2,0.1,0.3,,1.87
23.7,Chad Henne,KC,,,,,,,6.3,0.7,,,,,,,,,16.7,,7.90
134.3,Nick Mullens,SF,,1.6,17.7,10,,,,17.5,14.6,12.2,,9.1,22.6,13.4,15.5,,,,13.42
256.2,Teddy Bridgewater,CAR,17.4,12.7,14.6,27.2,20.8,11.4,19.2,13,28.3,20,,14.9,,20.4,18.9,11.6,5.7,,17.07
1.8,Case Keenum,CLV,,,,,,1.8,,,,,,,,,,,,,1.80
15.3,Brett Rypien,DEN,,,1.1,14.2,,,0,,,,,,,,,,,,5.10
112.2,Nick Foles,CHI,,,18.2,12.9,12.6,17.3,8.4,17.9,21.6,3.4,,,,,,-0.2,,,12.46
170.7,Gardner Minshew II,JAX,20.8,25.5,12.2,21.9,21.8,20.1,17,,,,,,,13.3,17.9,,,,18.94
380.3,Deshaun Watson,HST,21.8,15.7,18.1,20.9,26.9,32,24.2,,24.2,14.1,31.4,31.1,22.4,16.6,25.4,28.8,26.8,,23.78
15.5,Garrett Gilbert,DAL,,,,,,,,,15.5,,,,,,,,,,15.50
147,Sam Darnold,NYJ,12.2,11.9,9.7,23.6,,,2.8,7.4,,,,6.8,23,5.6,14.1,17,12.9,,12.25
211.4,Carson Wentz,PHI,17,14.4,23.5,20.4,17.4,27.4,28.8,12.6,,8.7,16.4,19.8,5,,,,,,17.62
251,Philip Rivers,IND,16.8,11.9,12.7,11.2,7.6,25.7,,22.3,8.1,16.3,22.4,18.8,19.2,17.8,17,13.8,9.4,,15.69
2.1,Joshua Dobbs,PIT,,,,,,,,,,,,,,,,,2.1,,2.10
163.8,Mitchell Trubisky,CHI,24.3,15.2,12.6,,,,,0.3,,,,20.8,15.3,25,14.5,24.6,11.3,,16.39
399,Kyler Murray,ARZ,27.3,33.1,24.7,25.1,27.3,28.9,38.1,,39.9,30.9,20.3,8.9,19.4,18.5,36.4,16.4,3.8,,24.94
378.4,Patrick Mahomes II,KC,20.4,25.5,40,20.2,28.7,20.6,12,36.6,31.5,,22.5,33.3,19.3,21.6,25.9,20.2,,,25.22
69.3,Jimmy Garoppolo,SF,19.3,13.2,,,1.1,23.5,9.5,2.8,,,,,,,,,,,11.57
13.8,John Wolford,LA,,,,,,,,,,,,,,,,,13.8,,13.80
1.9,Nathan Peterman,LV,,,,,,,,,,,,1.9,,,,,,,1.90
-0.4,Matt Schaub,ATL,,,,,,,,,,,,-0.4,,,,,,,-0.40
19.4,Mason Rudolph,PIT,,,,,,-0.1,,,0.1,0,-0.4,,,,,,19.7,,3.86
1.3,Logan Woodside,TEN,,,,,,,,,,0,,-0.5,,1.8,-0.3,0,,,0.20
11,Ben DiNucci,DAL,,,,,,0,1.6,9.4,,,,,,,,,,,3.67
259,Jared Goff,LA,11.5,24,26.2,11.7,25.4,15.9,16.9,16.2,,12.5,25,7,24.1,15.6,16.3,10.7,,,17.27
10.3,Matt Barkley,BUF,,,,,0.9,,,,,,,0,,,0,0.1,9.3,,2.06
15.9,Jarrett Stidham,NE,,,,4.7,,,1.9,,,,,,6.2,1.4,,1.8,,,3.20
0.7,Tyler Bray,CHI,,,,,,,,,,0.7,,,,,,,,,0.70
5,Brian Hoyer,NE,,,,5,,,,,,,,,,,,,,,5.00
259.5,Cam Newton,NE,25.7,35.6,12.2,,,17.9,2.8,18.4,24.6,16.8,19.2,6,23.6,5.4,12.2,9.8,29.6,,17.32
154.7,Ryan Fitzpatrick,MIA,6.4,22.3,24.2,21.3,27.6,18,,,,,4.3,19.3,,,,11.3,,,17.19
1.1,Geno Smith,SEA,,,,,,,,,,,,,,1.1,,,,,1.10
2.4,Jameis Winston,NO,,,,,,,,,0.2,2.3,,0,,,,,-0.1,,0.60
58.3,C.J. Beathard,SF,,,,5.5,7.8,,,,,0,,,,,8,21.1,15.9,,9.72
378.6,Russell Wilson,SEA,31.8,34.4,34.8,21.9,25.5,,32.9,28.7,27.9,13.9,20.1,14.4,18,23.1,13,19.9,18.1,,23.65
2.8,David Blough,DET,,,,,,,,,,,,,,,,2.8,,,2.80
19.2,Colt McCoy,NYG,,,,,,,,,,,,1.9,7.4,0.7,9.1,,,,4.78
200,Daniel Jones,NYG,19.4,10.7,11.1,11.1,8.2,14.9,23.7,18.2,12.9,22.2,,10.4,,5.1,,14.4,17.9,,14.30
140.5,Tua Tagovailoa,MIA,,,,,,0.4,,7.7,21.4,14.7,7.3,,16.1,28,17.7,8.9,18.2,,14.04
2.4,Tommy Stevens,CAR,,,,,,,,,,,,,,,,,2.4,,2.40
48,Kyle Allen,WAS,,,,,9.7,19,16.9,,2.5,,,,,,,,,,12.03
391.9,Aaron Rodgers,GB,30.8,18.8,24.5,29.6,,5.8,27.3,24.5,28.9,26.4,24.7,25.6,23.5,30.9,18.3,26.1,26,,24.48
186.7,Joe Burrow,CIN,17.3,26.5,20.4,16.1,7.3,17.7,36.6,18.9,,12.5,13.3,,,,,,,,18.66
268.6,Matthew Stafford,DET,17.2,17.2,18.5,21.3,,13.3,18.4,25.4,10.4,23,7.6,15.1,27.1,14.4,15.3,0.7,23.6,,16.78
34.3,Jake Luton,JAX,,,,,,,,,22.5,9.8,2,,,,,,,,11.43
21.2,Ryan Finley,CIN,,,0,,,,,,,,2.1,,0.6,0.2,18.3,,,,4.24
200.3,Drew Lock,DEN,13.1,0.8,,,,5.5,15,20.8,30.2,11,12.1,,12.9,27.6,13,16.1,22.3,,15.42
14.2,Chase Daniel,DET,,,,,,,,,7.3,,,,,1.2,2.3,3.4,,,3.55
346.4,Ryan Tannehill,TEN,19.4,26.8,12.7,,30,29.6,17.3,18.3,14.6,10.8,20.9,19.1,26.6,16.5,37,18.3,28.4,,21.64
261,Baker Mayfield,CLV,10.9,16.3,14.3,15.2,17.6,7.3,30.8,7.8,,5.4,9.1,18.4,29.9,29,21,12,16.2,,16.33
55.7,Brandon Allen,CIN,,,,,,,,,,,,9.1,9.4,13.9,,23.1,0.1,,11.12
57.8,Joe Flacco,NYJ,,,,0.6,13.8,6.4,,,21.5,,15.4,,,,,,,,11.54
319.2,Kirk Cousins,MIN,20.8,1.5,21.4,14.9,17.2,22.7,,10.4,20.8,18.6,25,26.2,24.4,17.1,20.3,23.6,34.3,,19.95
297.4,Matt Ryan,ATL,24.9,28.5,12.4,12.4,7.9,31.6,17.5,18.9,23.4,,7.3,14.9,14.9,10.3,27.8,19.9,24.7,,18.58
79.6,Alex Smith,WAS,,,,,1.6,,,,14,16,9.3,9.1,15.8,1.3,,,12.5,,9.95
340.8,Justin Herbert,LAC,,23.2,17.7,24,27.4,,38.5,23.2,23.4,21.5,27.7,15.4,6.4,16.7,28,16.7,31,,22.72
8.7,Chris Streveler,ARZ,0.3,0,,,,,,,,,,,,,,,8.4,,2.90
30.1,Jeff Driskel,DEN,,17.7,11.4,0.9,,,,,,,,,,,,,,,10.00
8.9,Tyrod Taylor,LAC,8.9,,,,,,,,0,,,,,,,,,,4.45
0,Easton Stick,LAC,,,,,,,0,,,,,,,,,,,,0.00
0.8,A.J. McCarron,HST,,,,,,,,,,,,,,0,,,,,0.00
67.6,Mike Glennon,JAX,,,,,,,,,,,,18,14.1,2.4,,14.4,18.6,,13.50
295.1,Derek Carr,LV,13.6,23.7,19.4,22.4,25,,20.3,12.5,16,7.2,22.6,7.6,32.7,25.8,2.1,23.2,20.9,,18.44
-0.9,Tim Boyle,GB,-0.2,-0.1,,-0.1,,0,-0.1,,-0.1,,,0,,,,-0.3,,,-0.11
219.5,Drew Brees,NO,14.4,15.5,23.5,16.5,22.1,,25.7,19.6,24.7,6.9,,,,,20.4,10.1,20,,18.28
-0.8,Kendall Hinton,DEN,,,,,,,,,,,,-0.8,,,,,,,-0.80
11.7,Taylor Heinicke,WAS,,,,,,,,,,,,,,,,11.7,,,11.70
