"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS"
"WAS","7.961094270678906","10","5.143480642765573","4.269749785341913","5.069835498739322","8.212160926128979","0.8652127028657818","5.568024837243416","6.515355325408788","5.143480642765573","7.289157374937706","8.514921676082189","8.426797001190241","","8.426797001190241","3.3427704904348365","5.055308419552072","4.269749785341913","17","9.13696021109417"
"LV","6.451634869792086","6.3398829142228035","5.069835498739322","6.408753879222422","6.34856186367884","","5.92797180693961","4.743085138004025","7.961094270678906","5.568024837243416","6.408753879222422","5.142074983578845","6.451634869792086","0","6.615062578986491","6.7845597417165395","3.3427704904348365","6.34856186367884","17","2.785509391325779"
"LA","4.160985813282155","8.514921676082189","6.3398829142228035","3.3427704904348365","4.269749785341913","7.70028130120024","","3.3427704904348365","5.425715356039436","6.3398829142228035","4.743085138004025","6.34856186367884","5.142074983578845","4.7351303314940925","3.9187624441917084","6.408753879222422","6.451634869792086","5.142074983578845","17","1.7024800411602397"
"LAC","4.7351303314940925","6.34856186367884","7.961094270678906","7.289157374937706","5.055308419552072","7.526497744805049","2.702782727497606","","8.514921676082189","3.3427704904348365","6.34856186367884","6.3398829142228035","4.7351303314940925","4.289837752928822","5.069835498739322","5.568024837243416","0","6.408753879222422","17","1.516188044128767"
"HST","5.568024837243416","6.408753879222422","6.992590707737082","6.451634869792086","7.961094270678906","","2.0915004343153583","5.069835498739322","5.143480642765573","8.426797001190241","5.4746851778336625","4.289837752928822","5.055308419552072","4.269749785341913","6.34856186367884","5.069835498739322","7.961094270678906","5.568024837243416","17","5.40840653288288"
"TEN","8.426797001190241","4.160985813282155","4.7351303314940925","5.568024837243416","5.4746851778336625","","3.3426132351473177","7.289157374937706","6.34856186367884","6.408753879222422","3.9187624441917084","7.053455574537254","5.143480642765573","7.961094270678906","6.451634869792086","7.289157374937706","4.269749785341913","7.961094270678906","17","6.052728816131224"
"JAX","5.4746851778336625","5.568024837243416","6.451634869792086","5.143480642765573","7.289157374937706","6.539138055589641","7.636850289524543","6.408753879222422","4.7351303314940925","6.34856186367884","","5.607540039841932","10","5.069835498739322","4.269749785341913","7.430804584226214","7.289157374937706","5.069835498739322","17","9.236204847823316"
"CAR","5.055308419552072","8.426797001190241","4.743085138004025","6.3398829142228035","3.3427704904348365","0","3.1288464106755036","8.514921676082189","7.053455574537254","8.514921676082189","5.607540039841932","6.408753879222422","","5.142074983578845","6.7845597417165395","10","5.425715356039436","4.743085138004025","17","5.8207190320942175"
"ARZ","6.34856186367884","4.7351303314940925","0","6.5567292163520285","5.143480642765573","6.038898746447156","2.10344955894521","6.515355325408788","5.142074983578845","0","3.3427704904348365","6.451634869792086","","6.615062578986491","6.408753879222422","5.425715356039436","8.514921676082189","3.3427704904348365","17","1.4386768068343194"
"CHI","3.3427704904348365","3.9187624441917084","7.289157374937706","8.426797001190241","6.515355325408788","6.429519126654641","4.915396237804326","4.269749785341913","4.289837752928822","10","8.514921676082189","7.430804584226214","3.9187624441917084","","5.143480642765573","4.160985813282155","10","6.515355325408788","17","7.438212713560722"
"CIN","6.7845597417165395","4.269749785341913","7.430804584226214","4.289837752928822","5.607540039841932","5.570321511385142","7.769224687561036","5.055308419552072","6.5567292163520285","","6.7845597417165395","5.069835498739322","6.34856186367884","5.055308419552072","5.425715356039436","6.615062578986491","4.160985813282155","5.607540039841932","17","4.56852587391905"
"BUF","0","5.069835498739322","4.289837752928822","5.607540039841932","6.7845597417165395","7.455807704622228","","3.9187624441917084","7.430804584226214","6.515355325408788","5.055308419552072","10","6.615062578986491","7.430804584226214","4.289837752928822","6.992590707737082","7.053455574537254","6.615062578986491","17","5.082171606293122"
"DEN","5.142074983578845","7.289157374937706","3.3427704904348365","4.7351303314940925","5.568024837243416","7.576857562782134","6.14074381530283","7.961094270678906","","5.069835498739322","4.7351303314940925","6.5567292163520285","5.607540039841932","6.34856186367884","6.3398829142228035","0","6.34856186367884","6.451634869792086","17","2.645026052862015"
"CLV","6.5567292163520285","7.430804584226214","6.7845597417165395","8.514921676082189","6.451634869792086","7.768788522820747","3.4019700630015173","7.053455574537254","","4.289837752928822","4.160985813282155","5.425715356039436","7.289157374937706","7.053455574537254","5.607540039841932","4.743085138004025","5.4746851778336625","6.7845597417165395","17","8.076830395407406"
"TB","4.269749785341913","4.743085138004025","3.9187624441917084","6.34856186367884","8.514921676082189","7.967847503252893","4.827772155518071","5.607540039841932","0","5.142074983578845","","5.055308419552072","4.743085138004025","3.3427704904348365","7.053455574537254","6.3398829142228035","6.5567292163520285","8.514921676082189","17","0"
"KC","6.3398829142228035","6.451634869792086","5.568024837243416","5.425715356039436","4.7351303314940925","4.886698870020226","0","","5.069835498739322","7.961094270678906","6.451634869792086","0","7.053455574537254","6.408753879222422","7.289157374937706","5.142074983578845","6.408753879222422","4.7351303314940925","17","0.8070713748734025"
"IND","7.289157374937706","7.961094270678906","6.34856186367884","5.069835498739322","6.408753879222422","9.349580152969645","2.5942698923373815","5.4746851778336625","6.615062578986491","4.7351303314940925","5.143480642765573","6.7845597417165395","4.269749785341913","","6.515355325408788","6.451634869792086","8.426797001190241","7.289157374937706","17","8.772515291575774"
"DAL","5.425715356039436","7.053455574537254","8.426797001190241","5.4746851778336625","0","6.040549565139565","10","6.992590707737082","","3.9187624441917084","6.515355325408788","8.426797001190241","5.568024837243416","7.289157374937706","7.961094270678906","5.143480642765573","5.069835498739322","5.4746851778336625","17","7.0868306998915545"
"MIA","6.615062578986491","5.607540039841932","4.160985813282155","7.053455574537254","7.430804584226214","7.651691434473156","5.170002395645984","10","6.992590707737082","5.055308419552072","","7.289157374937706","3.3427704904348365","6.451634869792086","4.160985813282155","3.9187624441917084","6.615062578986491","7.430804584226214","17","8.597356257126897"
"NYG","5.069835498739322","6.5567292163520285","4.269749785341913","6.992590707737082","3.9187624441917084","6.5855450621385225","6.937305937264778","5.142074983578845","","7.289157374937706","10","4.269749785341913","5.4746851778336625","5.143480642765573","5.4746851778336625","6.515355325408788","5.568024837243416","5.143480642765573","17","7.512315453586286"
"NYJ","5.607540039841932","5.055308419552072","7.053455574537254","6.7845597417165395","4.289837752928822","4.602229583860101","4.605494499449589","6.615062578986491","4.160985813282155","","6.615062578986491","6.992590707737082","6.515355325408788","4.160985813282155","10","7.961094270678906","5.142074983578845","4.289837752928822","17","8.144899360389978"
"DET","5.143480642765573","5.4746851778336625","6.515355325408788","5.142074983578845","6.615062578986491","","1.392440043677607","4.289837752928822","3.9187624441917084","6.992590707737082","8.426797001190241","4.160985813282155","7.961094270678906","6.515355325408788","7.430804584226214","6.5567292163520285","6.992590707737082","3.9187624441917084","17","5.854462557794084"
"GB","6.515355325408788","6.992590707737082","5.425715356039436","6.615062578986491","8.426797001190241","8.72680321311565","3.202405271345495","4.160985813282155","10","4.269749785341913","5.069835498739322","5.143480642765573","6.992590707737082","","0","4.289837752928822","6.515355325408788","10","17","3.8968961571947247"
"NE","4.289837752928822","6.7845597417165395","5.607540039841932","3.9187624441917084","10","5.936999319385492","5.482491195561386","7.430804584226214","5.568024837243416","","7.430804584226214","6.515355325408788","4.160985813282155","6.3398829142228035","4.7351303314940925","7.053455574537254","4.289837752928822","4.160985813282155","17","6.84129236523944"
"BLT","7.430804584226214","4.289837752928822","6.615062578986491","4.160985813282155","7.053455574537254","9.89650559541906","2.572448383605593","5.425715356039436","4.743085138004025","","6.5567292163520285","7.961094270678906","6.408753879222422","6.7845597417165395","5.055308419552072","8.514921676082189","6.7845597417165395","7.053455574537254","17","10"
"NO","8.514921676082189","5.425715356039436","6.5567292163520285","6.515355325408788","5.142074983578845","8.283641168831783","4.502041606770038","4.7351303314940925","5.607540039841932","6.7845597417165395","0","3.3427704904348365","5.425715356039436","","8.514921676082189","5.055308419552072","5.143480642765573","6.5567292163520285","17","1.6124250107750844"
"SEA","6.408753879222422","3.3427704904348365","8.514921676082189","10","4.743085138004025","7.445615068933734","4.669907166172363","8.426797001190241","6.3398829142228035","5.425715356039436","","4.7351303314940925","0","6.5567292163520285","3.3427704904348365","6.34856186367884","7.430804584226214","0","17","7.014342444630541"
"PIT","7.053455574537254","6.615062578986491","5.055308419552072","7.430804584226214","4.160985813282155","6.3720085309532415","1.4226147095172719","5.143480642765573","","4.743085138004025","7.053455574537254","5.568024837243416","8.514921676082189","5.607540039841932","6.5567292163520285","4.7351303314940925","5.607540039841932","5.055308419552072","17","4.585913177429651"
"MIN","3.9187624441917084","5.143480642765573","10","4.743085138004025","6.992590707737082","5.038023737762231","","6.3398829142228035","5.4746851778336625","4.160985813282155","4.269749785341913","6.615062578986491","7.430804584226214","10","5.568024837243416","8.426797001190241","3.9187624441917084","6.992590707737082","17","6.156524711483655"
"ATL","4.743085138004025","0","5.142074983578845","5.055308419552072","5.425715356039436","3.925779493456108","5.573917917011685","6.5567292163520285","6.451634869792086","6.5567292163520285","6.992590707737082","5.4746851778336625","6.7845597417165395","","4.743085138004025","5.607540039841932","6.3398829142228035","5.425715356039436","17","0.8207328563828147"
"SF","6.992590707737082","5.142074983578845","6.408753879222422","0","6.5567292163520285","10","4.51507848561516","0","","6.451634869792086","6.3398829142228035","4.743085138004025","4.289837752928822","5.425715356039436","5.142074983578845","5.4746851778336625","4.7351303314940925","6.3398829142228035","17","2.378584675537962"
"PHI","10","6.515355325408788","5.4746851778336625","7.961094270678906","6.3398829142228035","5.014432249371522","","6.7845597417165395","7.289157374937706","5.4746851778336625","5.568024837243416","3.9187624441917084","5.069835498739322","8.426797001190241","6.992590707737082","4.269749785341913","4.743085138004025","8.426797001190241","17","9.953312923507369"